"","shape","rate"
"139",1.29616004096609,1.03964616639548
"140",0.535329895281714,0.562155250256638
"141",3.02170296818206,1.39860592092622
"142",8.36487748574651,2.86386676549055
"143",5.76540805699535,2.66797767912977
"144",7.84638619268535,2.60890368411709
"145",0,0
"146",0,0
"147",0,0
"148",0,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",3.56701187256908,1.80440165184084
"155",10.9396658762796,3.98992199441976
"156",2.31132953642221,1.1395588314884
"157",7.57199370848087,3.09038454362223
"158",0,0
"159",0,0
"160",18.615834813811,6.36627303952945
"161",12.122054534208,4.21572632144536
"162",10.8882040580204,3.91026260301038
"163",18.6221226424337,5.71576361818957
"164",18.0072502150796,7.36036599900197
"165",0,0
"166",0,0
"167",4.18299802128051,1.84248616222844
"168",1.86350996871205,1.09283394853028
"169",2.88451880305702,1.26984925707457
"170",0,0
"171",0,0
"172",0,0
"173",0,0
"174",8.41426721611198,3.55276297650147
"175",4.42748234594977,1.88185172401903
"176",5.97904422120969,2.29497123126603
"177",4.54482861438932,1.9165795657445
"178",18.0072502150796,7.36036599900197
"179",5.74187112767057,2.42028452521718
"180",0,0
"181",0,0
"182",0,0
"183",0,0
"184",0,0
"185",0,0
"186",0,0
"187",11.1655832393461,3.68194338610976
"188",14.1198474185182,3.98768985215956
"189",9.86863272423531,3.11982982078988
"190",9.95470053369282,2.95103234403615
"191",13.8053135420549,4.09642126206748
"192",6.66539229625618,2.51720357329356
"193",3.02082441291992,1.35426734418022
"194",18.9856130281159,4.57874141524063
"195",19.8549105380163,4.80223945573093
"196",23.1481609647681,5.31427707379953
"197",13.8413566946471,4.16096215724303
"198",8.14368382034985,2.82931823890762
"199",22.083154073722,5.11028209378565
"200",17.7643686475488,4.58557129710882
"201",5.35597724071062,2.18094184383241
"202",12.8224537722936,3.83836494942997
"203",23.5971118383127,5.23570836162198
"204",9.59502312762262,2.96166611819214
"205",2.85628107400273,1.54003877874503
"206",4.982586177509,1.93048236469234
"207",1.35965980611198,0.883878747919691
"208",6.64866441650871,2.46650778154145
"209",12.7223497838333,4.61234751589553
"210",5.08349009402789,2.54803550520186
"211",3.9196249172225,1.75845100493032
"212",4.02954714379137,1.83898429635009
"213",8.36275048132048,3.03375785457127
"214",7.41386323558562,2.90283322760608
"215",2.17763816398483,1.2797703288483
"216",9.93892032187155,3.46353847508774
"217",7.83171607036113,3.03700600602927
"218",9.33365515566839,3.99251139926946
"219",1.69092650068149,1.33639263916453
"220",5.24846086628482,2.15060099318699
"221",5.49769734392091,2.28977880608541
"222",9.06927585937057,4.39914843801068
"223",18.0072502150796,7.36036599900197
"224",2.22546217457644,1.45006439514904
"225",8.02068028515668,2.97880943244098
"226",4.26210210596717,1.98476580080574
"227",0,0
"228",11.3914625612951,3.8856583187512
"229",14.3144879445472,4.64964872788623
"230",14.6894120158561,4.97450083634575
"231",2.86555584514182,1.84384067179702
"232",3.19056517125564,2.19965480711282
"233",2.1350649033539,1.53416958692556
"234",9.36019651784177,3.29692104516988
"235",6.01850683448818,2.57812763123109
"236",5.99209801364589,2.38573981473636
"237",7.22118871954111,2.36267280309112
"238",11.2050281195873,3.00321126389742
"239",3.05762909983611,1.92007158320161
"240",1.57624078089395,1.02427783921228
"241",4.10105122709711,1.58718288013729
"242",14.9682485154361,4.61751068647815
"243",7.01186783786894,2.56496381845799
"244",1.41990757612572,1.0982139191735
"245",0,0
"246",9.07469791522097,3.42253280325298
"247",2.94959047342082,1.74433904729678
"248",12.7738600351295,4.55619456367761
"249",6.42013119753956,3.01454885861154
